# # q, Iq, dIq
3.162277660168379530e-05,4.725875021618966460e+08,-1.483231672125142217e+08
3.933116786018689816e-05,5.258309814812815189e+08,-8.843781416763652861e+07
4.891856223541831214e-05,5.546576822381417751e+08,-5.469484942689390481e+07
6.084298690766421115e-05,7.922960531781964302e+08,2.098423704510974288e+08
7.567411809920194783e-05,5.792505466768195629e+08,-1.968384030170343444e+07
9.412049672680670033e-05,6.757485340094635487e+08,9.386471559324422479e+07
1.170633781617106729e-04,4.382379424543111324e+08,-1.560940013088125885e+08
1.455988332319186945e-04,5.340945664500056505e+08,-3.351010428130194917e+07
1.810901117957818495e-04,6.042107221786288023e+08,6.933164918628980219e+07
2.252327704987382043e-04,5.717987058015812635e+08,7.160164298594944179e+07
2.801356761198867357e-04,2.621629928236925900e+08,-2.145334999632619917e+08
3.484217543538398274e-04,4.911374062043430209e+08,1.123630790002238452e+08
4.333532971896592576e-04,2.290453767691715956e+08,-7.920365491843077540e+07
5.389878153085521113e-04,1.872055261902369857e+08,-1.310458124609990604e+07
6.703718811765348520e-04,1.085274487709775120e+08,9.260550890139974654e+06
8.337822234717883092e-04,3.886310924573754519e+07,1.014354159032412060e+07
1.037025590866763516e-03,3.524669299847998656e+06,4.222181883225393831e+05
1.289811710826127859e-03,3.485082896873471327e+06,2.976889317606522236e+05
1.604217161115324220e-03,1.300183578782728640e+06,-7.073919921271088533e+05
1.995262314968878920e-03,4.637671005514812423e+05,-9.780606484610699454e+02
