# # q, Iq, dIq
3.162277660168379530e-05,2.824196643656095490e+06,5.173988266670051962e+05
3.933116786018689816e-05,1.739814065638704691e+06,-6.701233838298835326e+05
4.891856223541831214e-05,2.193048527128851507e+06,-1.633922246154066524e+05
6.084298690766421115e-05,2.361509927352291532e+06,3.450491546780671342e+04
7.567411809920194783e-05,1.880019918825784232e+06,-4.757835032511858735e+05
9.412049672680670033e-05,3.120527860017372761e+06,9.184201580330589786e+05
1.170633781617106729e-04,1.688934949120030273e+06,-6.111438794550962048e+05
1.455988332319186945e-04,1.937891908827409614e+06,-2.689389729173457599e+05
1.810901117957818495e-04,2.441828699151585344e+06,3.875644826530175633e+05
2.252327704987382043e-04,1.728108757065854501e+06,-2.475635233626468398e+05
2.801356761198867357e-04,2.286486740239588544e+06,5.806270935247314628e+05
3.484217543538398274e-04,1.701450444731258089e+06,2.292638798767086118e+05
4.333532971896592576e-04,1.057434982819013763e+06,-1.067737180044246634e+05
5.389878153085521113e-04,5.671947939797054278e+05,-2.207270762842021068e+05
6.703718811765348520e-04,4.516478183265851112e+05,5.834884916961745330e+04
8.337822234717883092e-04,1.642746549942132842e+05,2.734271732393939965e+04
1.037025590866763516e-03,4.547387299169462494e+04,6.240532943161419098e+03
1.289811710826127859e-03,4.711638287194776785e+04,1.544460380373653243e+04
1.604217161115324220e-03,1.262574744695243862e+04,-7.634166533456172147e+03
1.995262314968878920e-03,9.081692663768995772e+03,1.534693538010558086e+03
