# # q, Iq, dIq
1.000000000000000021e-03,2.427965611023944221e+05,-3.344094395417643682e+03
1.424712356178089046e-03,2.089009839233451348e+05,-1.791848432689695301e+03
1.849424712356178072e-03,1.440605328615435574e+05,-3.879724400791610242e+04
2.274137068534267097e-03,1.174835441671619046e+05,-1.732884176983414727e+04
2.698849424712356122e-03,8.946708116699011589e+04,-2.854539046848602993e+03
3.123561780890445148e-03,6.303620518189987342e+04,4.961125606288458584e+03
3.548274137068534173e-03,3.406508467627725622e+04,-2.173009787778610189e+03
3.972986493246623632e-03,1.961599763491519116e+04,1.247320709716246029e+03
4.397698849424712224e-03,8.191017496589113762e+03,-5.625509573483352597e+02
4.822411205602800816e-03,3.260131458633575676e+03,-4.670902726497485702e+01
5.247123561780890275e-03,1.223062118686337271e+03,-3.816768543762128019e+01
5.671835917958978866e-03,9.625017222167410864e+02,4.277170608543714536e+01
6.096548274137068325e-03,1.304567774559851159e+03,7.748063866021536228e+01
6.521260630315157784e-03,1.657520756111103537e+03,1.366309940653039519e+02
6.945972986493246376e-03,1.704019704450806557e+03,1.239628853483404782e+02
7.370685342671334968e-03,1.405100035683587521e+03,-2.122894668313397659e+01
7.795397698849424427e-03,1.125106016978644902e+03,6.885271888620840741e+01
8.220110055027513019e-03,6.764637019519454952e+02,-8.472222044848855660e+01
8.644822411205602478e-03,4.529461243383309466e+02,-2.135835215158468614e+01
9.069534767383691937e-03,3.062878904484817326e+02,-4.978269780343384632e+00
9.494247123561779661e-03,2.436499025248508872e+02,9.368485618069625209e-01
9.918959479739870855e-03,2.401341914281392462e+02,1.524880666498785153e+01
1.034367183591795858e-02,2.487597228985724485e+02,2.191544679831704201e+01
1.076838419209604630e-02,2.167022086455678505e+02,-2.342593473399181292e+01
1.119309654827413750e-02,2.154355058155066160e+02,-1.314201691512449033e+00
1.161780890445222522e-02,1.755435608525226883e+02,-1.987952297901603416e+01
1.204252126063031642e-02,1.620091296191806691e+02,7.408511409527398506e+00
1.246723361680840414e-02,1.275494450967052700e+02,-7.119683902738236370e-01
1.289194597298649186e-02,1.069637113751995798e+02,2.045997373038285883e+00
1.331665832916458306e-02,8.538460816537768494e+01,-7.681399583831693079e+00
1.374137068534267078e-02,7.775233874415152968e+01,-5.238492414305299327e+00
1.416608304152075851e-02,7.826041592673695391e+01,4.185173011950046096e+00
1.459079539769884970e-02,7.533142765318874012e+01,6.429404933966662128e+00
1.501550775387693742e-02,6.388984880094456997e+01,-4.047732306543021963e+00
1.544022011005502862e-02,5.755204961935768893e+01,-6.022834846914910223e+00
1.586493246623311634e-02,6.054121678883317514e+01,6.659190128916884888e+00
1.628964482241120407e-02,5.643371728535781529e+01,8.677386770907522973e+00
1.671435717858929526e-02,4.441256359448511404e+01,-1.927355243881811786e+00
1.713906953476738299e-02,3.969409498587638296e+01,-2.794892508821394284e+00
1.756378189094547418e-02,3.912478704816003017e+01,1.269363235042949345e+00
1.798849424712356190e-02,3.271696736060662403e+01,-4.467009433329448775e+00
1.841320660330164963e-02,3.184259355282235404e+01,-2.550557550981693566e+00
1.883791895947974082e-02,3.009717011796691821e+01,-2.235678774558551130e+00
1.926263131565782855e-02,2.909489346733500170e+01,-9.083771315038610128e-01
1.968734367183591627e-02,2.730882248179019811e+01,-8.360510208937436127e-01
2.011205602801400746e-02,2.640349506561280180e+01,4.027010859632546014e-01
2.053676838419209519e-02,2.582540114951460097e+01,1.897073333724703881e+00
2.096148074037018638e-02,2.415432015185019665e+01,1.491275861209891307e+00
2.138619309654827411e-02,2.136072326301262692e+01,-8.242465668146953250e-01
2.181090545272636183e-02,2.000990475008947200e+01,-1.141330427629924094e+00
2.223561780890445302e-02,2.096151503527608639e+01,1.874988683340320428e+00
2.266033016508254075e-02,1.969485652941722975e+01,1.456599207293468590e+00
2.308504252126063194e-02,1.790932288224781033e+01,1.433083556202982556e-01
2.350975487743871967e-02,1.684122772567548765e+01,-2.180498193468223822e-01
2.393446723361680739e-02,1.661016953034376797e+01,5.627921759873778518e-01
2.435917958979489858e-02,1.588791414643059596e+01,5.215213042332205173e-01
2.478389194597298631e-02,1.478750923429529074e+01,-1.426077087439217572e-01
2.520860430215107403e-02,1.386467235577623747e+01,-5.808095737840131001e-01
2.563331665832916523e-02,1.375348430266945954e+01,1.540212832244298446e-01
2.605802901450725295e-02,1.345957942775510219e+01,5.558727718240030757e-01
2.648274137068534068e-02,1.296252830053468230e+01,5.837743754089259607e-01
2.690745372686343187e-02,1.212109109153447051e+01,2.927548703174890493e-02
2.733216608304151959e-02,1.149508174762284440e+01,-2.520817218199093990e-01
2.775687843921961079e-02,1.081885147174710227e+01,-6.404051721543440046e-01
2.818159079539769851e-02,1.225161931410668181e+01,2.113557311330883426e+00
2.860630315157578624e-02,9.979986976001445242e+00,-7.116353988050508894e-01
2.903101550775387743e-02,1.075432112429748344e+01,1.001012054685336050e+00
2.945572786393196515e-02,7.909836307932849309e+00,-2.752767836372447263e+00
2.988044022011005635e-02,9.835243140687651930e+00,6.107513707578214879e-01
3.030515257628814407e-02,1.027291991482493927e+01,1.713454167862031419e+00
3.072986493246623180e-02,9.262460729479842669e+00,6.251768142902889291e-01
3.115457728864432299e-02,8.566534828084119368e+00,-3.898647690776701341e-03
3.157928964482240725e-02,7.794110511007068531e+00,-7.611027953643122457e-01
3.200400200100049497e-02,8.461166941481605974e+00,6.222056656679739728e-01
3.242871435717858963e-02,7.414460806096146328e+00,-5.885010104821236654e-01
3.285342671335667736e-02,7.894194084651868337e+00,4.671128590209377984e-01
3.327813906953476508e-02,6.923525086920963467e+00,-6.712964265883588633e-01
3.370285142571285281e-02,7.178515340768069741e+00,1.685454093145668381e-02
3.412756378189094747e-02,7.066599445241691591e+00,1.467006674870523220e-01
3.455227613806903519e-02,6.396703098211093064e+00,-5.687929710705431630e-01
3.497698849424712292e-02,6.792649801272468757e+00,3.026434389856737517e-01
