# # q, Iq, dIq
1.000000000000000021e-03,1.754220835904192654e+03,-9.101401985625057023e+01
1.849849849849849980e-03,1.437612863577242024e+03,-5.259433192842842573e+02
2.699699699699699938e-03,1.835060768984421884e+03,1.331043209865787844e+02
3.549549549549549463e-03,1.636249753101715669e+03,-8.076722907991792511e+01
4.399399399399398988e-03,1.683278624705145603e+03,9.369290867315601190e+01
5.249249249249248947e-03,1.483824168881597188e+03,-8.430648289564331321e+01
6.099099099099098906e-03,1.568437983099092435e+03,1.784222555124476344e+02
6.948948948948948864e-03,1.206158984705341481e+03,-2.174507802738967541e+02
7.798798798798798823e-03,1.069880102608300376e+03,-2.656322573076117806e+02
8.648648648648648782e-03,9.705436637734026135e+02,-2.528192422368499592e+02
9.498498498498497006e-03,8.659779323742379802e+02,-2.453521090769412183e+02
1.034834834834834696e-02,8.844755357665139854e+02,-5.375902709137373137e+01
1.119819819819819692e-02,9.885877542041396282e+02,2.630157958361668875e+02
1.204804804804804688e-02,6.659850698889312071e+02,-6.602702702185581529e+01
1.289789789789789684e-02,5.570696251175121461e+02,-8.246584110372218390e+01
1.374774774774774680e-02,4.696801538658121444e+02,-7.635714099006547428e+01
1.459759759759759676e-02,4.904945397549809059e+02,8.089659193671447213e+01
1.544744744744744672e-02,4.212291748529456186e+02,9.085887040174672791e+01
1.629729729729729668e-02,2.659719890374265674e+02,-4.094333578207177737e+01
1.714714714714714663e-02,2.207998957723812055e+02,-2.060956238061658041e+01
1.799699699699699659e-02,2.097680026117222098e+02,3.808929262404034688e+01
1.884684684684684655e-02,1.465569658900189154e+02,6.142744480799803064e+00
1.969669669669669651e-02,9.488001115403038455e+01,-2.013629914054643066e+01
2.054654654654654647e-02,9.034996007540706842e+01,1.363565627416422110e+01
2.139639639639639643e-02,5.831384467559178120e+01,-3.391942026401598476e+00
2.224624624624624639e-02,4.601758535478513323e+01,8.861037123685614469e-01
2.309609609609609635e-02,2.603337717439769250e+01,-1.338367076061991057e+01
2.394594594594594630e-02,2.615300367528713466e+01,-3.225050020241204685e+00
2.479579579579579626e-02,2.697744568116810626e+01,3.506305472810213431e+00
2.564564564564564622e-02,2.296114591635974378e+01,-3.496536173573851491e-01
2.649549549549549618e-02,2.502381629212607450e+01,2.629456201475303345e+00
2.734534534534534614e-02,1.879039002495958499e+01,-8.213975734319310718e+00
2.819519519519519610e-02,2.902655913279745192e+01,5.022006654257945790e+00
2.904504504504504606e-02,2.836129460095087396e+01,1.877236694493052749e+00
2.989489489489489601e-02,2.966624319790268061e+01,2.100638092860865669e+00
3.074474474474474597e-02,2.779466661872170263e+01,-1.732642434279065169e+00
3.159459459459459246e-02,2.456943481898411363e+01,-6.725114345293468077e+00
3.244444444444444242e-02,2.827454350187491272e+01,-4.014662867339207630e-01
3.329429429429429238e-02,2.945866225974277341e+01,3.017632911609794633e+00
3.414414414414414234e-02,2.869577198343515079e+01,4.278666747549851657e+00
3.499399399399399230e-02,2.230780349634941118e+01,-2.298578348069120203e+00
3.584384384384384226e-02,1.967391158882383451e+01,-2.836034097954336808e+00
3.669369369369369221e-02,2.048767832045636084e+01,2.007450904195607677e+00
3.754354354354354217e-02,1.734495339676284686e+01,9.340729767523447968e-01
3.839339339339339213e-02,1.460457351984633867e+01,3.110726729128507340e-01
3.924324324324324209e-02,1.259226919856279103e+01,4.859883788226277979e-01
4.009309309309309205e-02,8.395116825554449491e+00,-3.015820420764874221e+00
4.094294294294294201e-02,8.523052667425835338e+00,-4.964196869818458535e-01
4.179279279279279197e-02,6.448712797792069296e+00,-1.776070158798234599e+00
4.264264264264264193e-02,7.561694675701566837e+00,1.235105814086712828e+00
4.349249249249249188e-02,5.319332506993728948e+00,-1.241732016649530701e+00
4.434234234234234184e-02,5.040962158135438465e+00,-1.169111550730953075e+00
4.519219219219219180e-02,6.560529681641140698e+00,1.278562079526692763e+00
4.604204204204204176e-02,4.799602163314816039e+00,-1.432735070894622487e+00
4.689189189189189172e-02,5.206006940669031025e+00,-1.045588490204055532e+00
4.774174174174174168e-02,6.947231700340852356e+00,1.272828955288709096e+00
4.859159159159159164e-02,6.756426492000779938e+00,6.947264081286158577e-01
4.944144144144144160e-02,6.164317520329313460e+00,-4.241728994580171164e-01
5.029129129129129155e-02,6.574093499242709804e+00,6.534054381025619640e-02
5.114114114114114151e-02,6.868952556533830744e+00,5.162994448349712551e-01
5.199099099099099147e-02,6.624102332157339568e+00,3.038372926245043737e-01
5.284084084084084143e-02,5.524603397551788753e+00,-1.046683502477825156e+00
5.369069069069069139e-02,5.926091652875309812e+00,-1.637069960897048065e-02
5.454054054054054135e-02,6.229806047342021813e+00,9.725451835775441589e-01
5.539039039039039131e-02,4.801515072730730083e+00,-5.617688334598085476e-01
5.624024024024024127e-02,4.151336577591812294e+00,-8.878313684082800306e-01
5.709009009009009122e-02,4.230115452484900729e+00,-1.132666011978186033e-01
5.793993993993994118e-02,3.304677449826718405e+00,-8.692785300872251097e-01
5.878978978978979114e-02,3.162837375248613636e+00,-5.010075517262085887e-01
5.963963963963964110e-02,3.433446333466410927e+00,4.140696705616958573e-01
6.048948948948949106e-02,2.820408494819357070e+00,-8.194956090829519368e-02
6.133933933933934102e-02,2.753170342966196227e+00,1.485968323032449967e-01
6.218918918918919098e-02,2.649268395640255847e+00,2.324378698443503311e-01
6.303903903903904093e-02,2.724304784282411962e+00,4.995356896939077695e-01
6.388888888888888395e-02,2.389560153882789528e+00,7.833812791626616756e-02
6.473873873873874085e-02,2.233267369767145460e+00,-1.337143588255119142e-01
6.558858858858858387e-02,2.601421897738490419e+00,3.995140576150323919e-01
6.643843843843844077e-02,2.617660725601698601e+00,3.811811427534350649e-01
6.728828828828828379e-02,2.305363914631445965e+00,-1.367479405598681641e-01
6.813813813813814069e-02,2.017441169930114242e+00,-6.099729670290729988e-01
6.898798798798798371e-02,2.542035872658401807e+00,1.558182826374764907e-01
6.983783783783784060e-02,2.213367116096673470e+00,-3.293515213484854431e-01
7.068768768768768362e-02,2.236551241897578368e+00,-2.527655071539778864e-01
7.153753753753754052e-02,1.884118108634149857e+00,-7.041844927448268621e-01
7.238738738738738354e-02,2.363979964594830285e+00,1.264216089137075727e-01
7.323723723723724044e-02,2.119224328927341805e+00,-1.009055833768919969e-01
7.408708708708708346e-02,2.366677948285943245e+00,4.324100293305433995e-01
7.493693693693694036e-02,1.923577603946907910e+00,-5.575696130336727646e-02
7.578678678678678338e-02,2.155595368388840694e+00,4.745783445768553821e-01
7.663663663663664027e-02,2.312779671997669872e+00,8.901530635065998398e-01
7.748648648648648329e-02,1.716973555028823428e+00,1.662187368292844525e-01
7.833633633633634019e-02,1.709815916710267114e+00,3.090422307875433927e-01
7.918618618618618321e-02,1.449453326526428665e+00,5.132182300458720120e-02
8.003603603603604011e-02,1.616634835027900952e+00,4.115090938121728215e-01
8.088588588588588313e-02,1.180206805325553443e+00,-1.579319016185621871e-01
8.173573573573574003e-02,1.137366118273101634e+00,-1.602709128355765122e-01
8.258558558558558305e-02,1.398965841571008228e+00,2.732005027565996835e-01
8.343543543543543994e-02,1.301646818052805132e+00,1.510295440888729246e-01
8.428528528528528296e-02,1.496045620346940996e+00,4.535241781778333037e-01
8.513513513513513986e-02,1.065055526003872099e+00,-1.902612089510628546e-01
8.598498498498498288e-02,1.129818441103736193e+00,-9.393096837833289636e-02
8.683483483483483978e-02,1.084846264122289350e+00,-1.614166409911641509e-01
8.768468468468468280e-02,1.132147101215801976e+00,-8.606878822243391181e-02
8.853453453453453970e-02,1.109000173936849354e+00,-1.091980731299206225e-01
8.938438438438438272e-02,1.093460933519357692e+00,-1.119349567077490837e-01
9.023423423423423961e-02,1.243352952290515123e+00,1.432325680271400448e-01
9.108408408408408263e-02,1.321685470720314948e+00,3.006368158327534790e-01
9.193393393393393953e-02,1.034573967807032702e+00,-8.157061302084096799e-02
9.278378378378378255e-02,1.152136112102018828e+00,1.500994793772528202e-01
9.363363363363363945e-02,1.007649347205119117e+00,-6.585952012664874310e-03
9.448348348348348247e-02,9.654600542296016830e-01,-7.501169074137331930e-03
9.533333333333333937e-02,1.006204780908790397e+00,1.158871439062396091e-01
9.618318318318318239e-02,8.245031076432465245e-01,-9.674836067963778208e-02
9.703303303303303928e-02,7.740075885491453089e-01,-1.168602502241702229e-01
9.788288288288288230e-02,1.087062348106744070e+00,4.025826762599890585e-01
9.873273273273273920e-02,7.218507909725541127e-01,-1.021133918522299650e-01
9.958258258258258222e-02,7.274221133089034952e-01,-5.780184436796480252e-02
1.004324324324324391e-01,6.408434963356971492e-01,-1.587856354510066847e-01
1.012822822822822821e-01,8.360958917661265311e-01,1.564647498172192785e-01
1.021321321321321390e-01,7.297190207099413239e-01,1.369404982632260390e-02
1.029819819819819821e-01,6.709579260967768466e-01,-6.202669373290835286e-02
1.038318318318318390e-01,8.545218432062516856e-01,2.227187357791416134e-01
1.046816816816816820e-01,8.393928027658825730e-01,2.077905881032789948e-01
1.055315315315315389e-01,6.807062882514784974e-01,-2.279621359094836583e-02
1.063813813813813819e-01,6.624368379120155748e-01,-4.193373881600799546e-02
1.072312312312312388e-01,6.622353189321710243e-01,-3.223256879423883753e-02
1.080810810810810818e-01,7.400478398442309480e-01,9.685899562044544830e-02
1.089309309309309387e-01,8.101376203101052775e-01,2.170735157465391030e-01
1.097807807807807817e-01,7.916953637307210245e-01,2.072440844580709651e-01
1.106306306306306247e-01,4.668791980840704126e-01,-2.596076752352972083e-01
1.114804804804804816e-01,6.066781830674436993e-01,-2.742904789287095579e-02
1.123303303303303247e-01,7.365300603753903719e-01,1.913435851298234680e-01
1.131801801801801816e-01,7.040107004670339563e-01,1.673863121250637742e-01
1.140300300300300246e-01,5.940750846121451989e-01,2.741077337086240268e-02
1.148798798798798815e-01,6.727415366501804384e-01,1.697511528323397134e-01
1.157297297297297245e-01,5.205458106854736755e-01,-3.540178218711738378e-02
1.165795795795795814e-01,5.529571401499000505e-01,3.466074986653280843e-02
1.174294294294294244e-01,6.429235355005482599e-01,1.890139166763916134e-01
1.182792792792792813e-01,6.091760520744879948e-01,1.555652143994370462e-01
1.191291291291291243e-01,4.202418333724404764e-01,-1.129243465835218230e-01
1.199789789789789812e-01,4.221449172649798243e-01,-9.730272003824873284e-02
1.208288288288288242e-01,5.261902688787297722e-01,6.962595373149328692e-02
1.216786786786786811e-01,4.404749120756721315e-01,-4.965968010431799640e-02
1.225285285285285242e-01,4.270545578519235330e-01,-6.168534857500870133e-02
1.233783783783783811e-01,3.581337134583995607e-01,-1.577272213542679213e-01
1.242282282282282241e-01,4.002848894743576968e-01,-8.751996321066325690e-02
1.250780780780780810e-01,3.552794674724338853e-01,-1.480368678340170385e-01
1.259279279279279240e-01,4.884620240683721359e-01,5.904643172145885438e-02
1.267777777777777670e-01,5.177569534166239773e-01,1.108461982047838773e-01
1.276276276276276378e-01,4.533954502042687462e-01,2.285261906541516397e-02
1.284774774774774808e-01,3.513822127513397398e-01,-1.208728824586862427e-01
1.293273273273273238e-01,5.599779711833957618e-01,2.020338978345803949e-01
1.301771771771771669e-01,3.010619986087992861e-01,-1.757083647182517694e-01
1.310270270270270376e-01,4.329316521398544615e-01,3.319206099282023120e-02
1.318768768768768807e-01,3.734251217065571726e-01,-4.470214734658158745e-02
1.327267267267267237e-01,5.074745929212015616e-01,1.677956407763897817e-01
1.335765765765765667e-01,3.006520534375118348e-01,-1.311703294593684066e-01
1.344264264264264375e-01,4.339801514989406472e-01,7.973775998511974106e-02
1.352762762762762805e-01,3.301106070747384935e-01,-6.566963084843023546e-02
1.361261261261261235e-01,4.002495452981909563e-01,4.929046503929601641e-02
1.369759759759759665e-01,3.354090116461049265e-01,-3.894437957825720720e-02
1.378258258258258373e-01,3.308222275410918622e-01,-3.755642750187931922e-02
1.386756756756756803e-01,3.744257925451027202e-01,3.537332650495998709e-02
1.395255255255255233e-01,3.959661325371500729e-01,7.451951918747264092e-02
1.403753753753753664e-01,4.206474196656619924e-01,1.177769304345968465e-01
1.412252252252252371e-01,3.379246531507166806e-01,-5.601762498071362513e-04
1.420750750750750802e-01,4.195243232545460832e-01,1.272235156766103603e-01
1.429249249249249232e-01,3.149133772332786685e-01,-2.454374180510325923e-02
1.437747747747747662e-01,3.583546138494947964e-01,4.565405541822918634e-02
1.446246246246246370e-01,2.567020109422860075e-01,-1.017959393083226055e-01
1.454744744744744800e-01,2.796329794205794639e-01,-6.229181466552465712e-02
1.463243243243243230e-01,4.165224596129573076e-01,1.482886759024894252e-01
1.471741741741741660e-01,2.935391066282089234e-01,-3.076792053968153279e-02
1.480240240240240368e-01,3.415616669479779044e-01,4.686282039211216860e-02
1.488738738738738798e-01,3.466950553874886265e-01,6.032097566565235852e-02
1.497237237237237228e-01,3.180926728670891435e-01,2.329856040539580314e-02
1.505735735735735659e-01,3.640389557023807066e-01,9.816941372662252308e-02
1.514234234234234366e-01,2.534637867073240569e-01,-6.173419314597365648e-02
1.522732732732732797e-01,2.841331458426784029e-01,-9.829177076586100015e-03
1.531231231231231227e-01,2.698666338727421232e-01,-2.544999239121907217e-02
1.539729729729729657e-01,2.286065931675872187e-01,-8.174013106360544789e-02
1.548228228228228365e-01,3.066922303979949804e-01,4.076337224636755047e-02
1.556726726726726795e-01,3.028589376564254643e-01,4.013083665480722539e-02
1.565225225225225225e-01,2.900008525039353136e-01,2.568635239477047236e-02
1.573723723723723655e-01,2.440539026513212639e-01,-3.866912739669723514e-02
1.582222222222222363e-01,2.786686349505250182e-01,1.755246538029060083e-02
1.590720720720720793e-01,2.133437563598962750e-01,-7.637793963380321016e-02
1.599219219219219223e-01,3.451668758993339248e-01,1.252048557205651946e-01
1.607717717717717654e-01,2.229857923646448581e-01,-5.438943358809825851e-02
1.616216216216216361e-01,2.490981982717005716e-01,-1.167192563395677216e-02
1.624714714714714792e-01,2.336319494076109782e-01,-3.141052733424443133e-02
1.633213213213213222e-01,2.850530493852837521e-01,4.913159305630648843e-02
1.641711711711711652e-01,2.404821111570915049e-01,-1.433350284732249486e-02
1.650210210210210082e-01,2.270579870515463672e-01,-3.107368742671626563e-02
1.658708708708708790e-01,2.854677064132767339e-01,5.995682665736569439e-02
1.667207207207207220e-01,2.263369118205520725e-01,-2.529748852922523647e-02
1.675705705705705650e-01,3.012056247205988635e-01,9.047190874857047316e-02
1.684204204204204081e-01,2.368299766920416438e-01,-2.610712625214092579e-03
1.692702702702702788e-01,1.987646640548650645e-01,-5.622736468517199049e-02
1.701201201201201219e-01,1.769573892906196877e-01,-8.547599510671735623e-02
1.709699699699699649e-01,2.404424537864716938e-01,1.317485636011777629e-02
1.718198198198198079e-01,1.850990330345546331e-01,-6.647679823565680324e-02
1.726696696696696787e-01,2.185468404018273969e-01,-1.301995153617651821e-02
1.735195195195195217e-01,2.700119606391004901e-01,6.736936767416881744e-02
1.743693693693693647e-01,2.375579413430296827e-01,2.177493230500758548e-02
1.752192192192192077e-01,1.940221604344016526e-01,-4.055269468595718713e-02
1.760690690690690785e-01,2.106246495938336460e-01,-1.278547199229742269e-02
1.769189189189189215e-01,2.297367686649403051e-01,1.863764401816070046e-02
1.777687687687687645e-01,2.388654920695346406e-01,3.498428895596941701e-02
1.786186186186186076e-01,2.157865802418820755e-01,2.928765810653696355e-03
1.794684684684684783e-01,1.691862102470789442e-01,-6.448673397598253532e-02
1.803183183183183214e-01,1.411116372720413459e-01,-1.041782251595803066e-01
1.811681681681681644e-01,1.776128142322219439e-01,-4.705672636680272025e-02
1.820180180180180074e-01,2.068083670711032274e-01,-9.327145733382790488e-04
1.828678678678678782e-01,1.999542640739811472e-01,-8.911695568974257325e-03
1.837177177177177212e-01,2.388572646920988363e-01,5.172416308541306212e-02
1.845675675675675642e-01,2.226805872061040636e-01,2.972431841163860472e-02
1.854174174174174072e-01,1.988527988849093653e-01,-3.765694635867720876e-03
1.862672672672672780e-01,2.039698966791595736e-01,6.147000940096934880e-03
1.871171171171171210e-01,2.052416323567962664e-01,1.027473931794957440e-02
1.879669669669669640e-01,2.187114126633865618e-01,3.267820898293237464e-02
1.888168168168168071e-01,1.714991602534153836e-01,-3.596822844320564372e-02
1.896666666666666778e-01,1.744100665879340928e-01,-2.946191581385650821e-02
1.905165165165165209e-01,2.141745779285150197e-01,3.228680883736513574e-02
1.913663663663663639e-01,2.275198774893531228e-01,5.436440812991280569e-02
1.922162162162162069e-01,1.947475438344825338e-01,7.219655531624400054e-03
1.930660660660660777e-01,2.185594423623406501e-01,4.490291391907225149e-02
1.939159159159159207e-01,1.667766023340710446e-01,-3.085434058107695138e-02
1.947657657657657637e-01,1.651032472434569298e-01,-3.149569011755985054e-02
1.956156156156156067e-01,1.897742518382121157e-01,7.333356878262479311e-03
1.964654654654654775e-01,1.538414399935308097e-01,-4.478647641985259581e-02
1.973153153153153205e-01,2.134496250725565203e-01,4.636516737221968443e-02
1.981651651651651636e-01,2.078803081063783365e-01,3.971480431936383337e-02
1.990150150150150066e-01,1.472301110247155598e-01,-4.958925501782524004e-02
1.998648648648648773e-01,1.231882185864989487e-01,-8.400985642710917523e-02
2.007147147147147204e-01,2.058238819027940758e-01,4.156015344555717694e-02
2.015645645645645634e-01,1.525929235711573351e-01,-3.669379690502343888e-02
2.024144144144144064e-01,1.864936996211617459e-01,1.572756618015425795e-02
2.032642642642642772e-01,1.453374376823455827e-01,-4.445812071205829802e-02
2.041141141141141202e-01,1.176355357483262615e-01,-8.448388118918272183e-02
2.049639639639639632e-01,1.211597039268647452e-01,-7.769203453650536106e-02
2.058138138138138062e-01,1.859570510348863281e-01,2.098720769471590017e-02
2.066636636636636770e-01,1.292568036006916388e-01,-6.260312728330745535e-02
2.075135135135135200e-01,1.575604855619986977e-01,-1.871094415972175337e-02
2.083633633633633631e-01,1.675330494791275049e-01,-2.339811960963174287e-03
2.092132132132132061e-01,1.848940121257048597e-01,2.508942729820772335e-02
2.100630630630630769e-01,1.731797055261452556e-01,8.881559772214268900e-03
2.109129129129129199e-01,2.025936152603285134e-01,5.434180160481098809e-02
2.117627627627627629e-01,1.903564184679145954e-01,3.730198367221822242e-02
2.126126126126126059e-01,1.760910793000838026e-01,1.719738505599265055e-02
2.134624624624624767e-01,1.401930730890010579e-01,-3.537816036177927892e-02
2.143123123123123197e-01,1.646818866286148819e-01,2.605739083885239178e-03
2.151621621621621627e-01,1.744427705915213567e-01,1.847765805462650568e-02
2.160120120120120057e-01,1.910913257612165128e-01,4.466146648073622549e-02
2.168618618618618765e-01,1.726478013170715808e-01,1.818833710867857542e-02
2.177117117117117195e-01,1.844598214785446444e-01,3.707976041571448694e-02
2.185615615615615626e-01,1.464908593715740226e-01,-1.871908522280971848e-02
2.194114114114114056e-01,1.412464837626113690e-01,-2.544951175971216922e-02
2.202612612612612486e-01,1.690047900406293213e-01,1.730522162804000105e-02
2.211111111111111194e-01,9.306347410818810451e-02,-9.550852450252930725e-02
2.219609609609609624e-01,1.147570707044729410e-01,-6.188858490235184251e-02
2.228108108108108054e-01,1.768815319970418465e-01,3.235873473015356966e-02
2.236606606606606484e-01,1.542946707684084151e-01,-4.796147383023672737e-04
2.245105105105105192e-01,1.655621857856218737e-01,1.744578165398289957e-02
2.253603603603603622e-01,1.107103561316442747e-01,-6.382533290006987825e-02
2.262102102102102053e-01,1.315253093141608709e-01,-3.161297935903609191e-02
2.270600600600600483e-01,9.882244931839478941e-02,-7.969275850587492771e-02
2.279099099099099190e-01,1.734447102358706860e-01,3.320038996810319165e-02
2.287597597597597621e-01,1.604195269825527959e-01,1.460850865685521527e-02
